FLAG{Hirosaki Castle_Aomori}
FLAG{Goryokaku_Hokkaido}
FLAG{Morioka Castle_Iwate}
FLAG{Aoba Castle_Miyagi}
FLAG{Akita Castle_Akita}
FLAG{Yamagata Castle_Yamagata}
FLAG{Aizuwakamatsu Castle_Fukushima}
FLAG{Shirakawa Komine Castle_Fukushima}
FLAG{Kasama Castle_Ibaraki}
FLAG{Ashikaga Castle_Tochigi}
FLAG{Kanayama Castle_Gunma}
FLAG{Kawagoe Castle_Saitama}
FLAG{Sakura Castle_Chiba}
FLAG{Edo Castle_Tokyo}
FLAG{Odawara Castle_Kanagawa}
FLAG{Matsumoto Castle_Nagano}
FLAG{Ueda Castle_Nagano}
FLAG{Takato Castle_Nagano}
FLAG{Komoro Castle_Nagano}
FLAG{Echigo Tsutsuji Castle_Niigata}
FLAG{Kasugayama Castle_Niigata}
FLAG{Toyama Castle_Toyama}
FLAG{Kanazawa Castle_Ishikawa}
FLAG{Maruoka Castle_Fukui}
FLAG{Yamanaka Castle_Shizuoka}
FLAG{Kakegawa Castle_Shizuoka}
FLAG{Hamamatsu Castle_Shizuoka}
FLAG{Inuyama Castle_Aichi}
FLAG{Nagoya Castle_Aichi}
FLAG{Gifu Castle_Gifu}
FLAG{Ogaki Castle_Gifu}
FLAG{Iga Ueno Castle_Mie}
FLAG{Hikone Castle_Shiga}
FLAG{Azuchi Castle_Shiga}
FLAG{Nijo Castle_Kyoto}
FLAG{Osaka Castle_Osaka}
FLAG{Takeda Castle_Hyogo}
FLAG{Himeji Castle_Hyogo}
FLAG{Akashi Castle_Hyogo}
FLAG{Sasayama Castle_Hyogo}
FLAG{Takatori Castle_Nara}
FLAG{Wakayama Castle_Wakayama}
FLAG{Tottori Castle_Tottori}
FLAG{Matsue Castle_Shimane}
FLAG{Tsuwano Castle_Shimane}
FLAG{Okayama Castle_Okayama}
FLAG{Bitchu Matsuyama Castle_Okayama}
FLAG{Fukuyama Castle_Hiroshima}
FLAG{Hiroshima Castle_Hiroshima}
FLAG{Iwakuni Castle_Yamaguchi}
FLAG{Tokushima Castle_Tokushima}
FLAG{Takamatsu Castle_Kagawa}
FLAG{Marugame Castle_Kagawa}
FLAG{Matsuyama Castle_Ehime}
FLAG{Yuzuki Castle_Ehime}
FLAG{Uwajima Castle_Ehime}
FLAG{Kochi Castle_Kochi}
FLAG{Fukuoka Castle_Fukuoka}
FLAG{Ono Castle_Fukuoka}
FLAG{Saga Castle_Saga}
FLAG{Yoshinogari Site_Saga}
FLAG{Hirado Castle_Nagasaki}
FLAG{Shimabara Castle_Nagasaki}
FLAG{Kumamoto Castle_Kumamoto}
FLAG{Hitoyoshi Castle_Kumamoto}
FLAG{Funai Castle_Oita}
FLAG{Oka Castle_Oita}
FLAG{Obi Castle_Miyazaki}
FLAG{Kagoshima Castle_Kagoshima}
FLAG{Shuri Castle_Okinawa}
FLAG{Nakagusuku Castle_Okinawa}
FLAG{Hachioji Castle_Tokyo}
FLAG{Iwamura Castle_Gifu}
FLAG{Naegi Castle_Gifu}
FLAG{Minowa Castle_Gunma}
FLAG{Yanagawa Castle_Fukuoka}
FLAG{Nij? Castle_Yamagata}
FLAG{Hagi Castle_Yamaguchi}
FLAG{Tsurusaki Castle_Oita}
FLAG{Kikuchi Castle_Kumamoto}
FLAG{Utsunomiya Castle_Tochigi}
FLAG{Hara Castle_Nagasaki}
FLAG{Nanao Castle_Ishikawa}
FLAG{Karatsu Castle_Saga}
FLAG{Kasuga Castle_Aichi}
FLAG{Yokosuka Castle_Shizuoka}
FLAG{K?zuki Castle_Tottori}
FLAG{Tsuyama Castle_Okayama}
FLAG{Matsusaka Castle_Mie}
FLAG{Itami Castle_Hyogo}
FLAG{Sunpu Castle_Shizuoka}
FLAG{Iwatsuki Castle_Saitama}
FLAG{?no Castle_Fukui}
FLAG{Matsushiro Castle_Nagano}
FLAG{Miki Castle_Hyogo}
FLAG{Kan? Castle_Gifu}
FLAG{Ry?ky? Kokuzu Kani_Okinawa}
FLAG{Nemuro Chashi_Hokkaido}
FLAG{?zu Castle_Ehime}
FLAG{Kishiwada Castle_Osaka}
